statefip,year,expansion,post
01,2010,0,0
01,2011,0,0
01,2012,0,0
01,2013,0,0
01,2014,0,1
01,2015,0,1
01,2016,0,1
01,2017,0,1
01,2018,0,1
01,2019,0,1
01,2020,0,1
01,2021,0,1
01,2022,0,1
01,2023,0,1
02,2010,0,0
02,2011,0,0
02,2012,0,0
02,2013,0,0
02,2014,0,1
02,2015,0,1
02,2016,0,1
02,2017,0,1
02,2018,0,1
02,2019,0,1
02,2020,1,1
02,2021,1,1
02,2022,1,1
02,2023,1,1
04,2010,0,0
04,2011,0,0
04,2012,0,0
04,2013,0,0
04,2014,0,1
04,2015,0,1
04,2016,0,1
04,2017,0,1
04,2018,0,1
04,2019,0,1
04,2020,0,1
04,2021,0,1
04,2022,0,1
04,2023,0,1
05,2010,0,0
05,2011,0,0
05,2012,0,0
05,2013,0,0
05,2014,0,1
05,2015,0,1
05,2016,0,1
05,2017,0,1
05,2018,0,1
05,2019,0,1
05,2020,0,1
05,2021,0,1
05,2022,0,1
05,2023,0,1
06,2010,0,0
06,2011,0,0
06,2012,0,0
06,2013,0,0
06,2014,1,1
06,2015,1,1
06,2016,1,1
06,2017,1,1
06,2018,1,1
06,2019,1,1
06,2020,1,1
06,2021,1,1
06,2022,1,1
06,2023,1,1
08,2010,0,0
08,2011,0,0
08,2012,0,0
08,2013,0,0
08,2014,0,1
08,2015,0,1
08,2016,0,1
08,2017,0,1
08,2018,0,1
08,2019,0,1
08,2020,0,1
08,2021,0,1
08,2022,0,1
08,2023,0,1
09,2010,0,0
09,2011,0,0
09,2012,0,0
09,2013,0,0
09,2014,0,1
09,2015,0,1
09,2016,0,1
09,2017,0,1
09,2018,0,1
09,2019,0,1
09,2020,0,1
09,2021,0,1
09,2022,0,1
09,2023,0,1
10,2010,0,0
10,2011,0,0
10,2012,0,0
10,2013,0,0
10,2014,0,1
10,2015,0,1
10,2016,0,1
10,2017,0,1
10,2018,0,1
10,2019,0,1
10,2020,0,1
10,2021,0,1
10,2022,0,1
10,2023,0,1
11,2010,0,0
11,2011,0,0
11,2012,0,0
11,2013,0,0
11,2014,0,1
11,2015,0,1
11,2016,0,1
11,2017,0,1
11,2018,0,1
11,2019,0,1
11,2020,0,1
11,2021,0,1
11,2022,0,1
11,2023,0,1
12,2010,0,0
12,2011,0,0
12,2012,0,0
12,2013,0,0
12,2014,0,1
12,2015,0,1
12,2016,0,1
12,2017,1,1
12,2018,1,1
12,2019,1,1
12,2020,1,1
12,2021,1,1
12,2022,1,1
12,2023,1,1
13,2010,0,0
13,2011,0,0
13,2012,0,0
13,2013,0,0
13,2014,0,1
13,2015,0,1
13,2016,0,1
13,2017,0,1
13,2018,0,1
13,2019,0,1
13,2020,0,1
13,2021,0,1
13,2022,0,1
13,2023,0,1
15,2010,0,0
15,2011,0,0
15,2012,0,0
15,2013,0,0
15,2014,0,1
15,2015,0,1
15,2016,0,1
15,2017,0,1
15,2018,0,1
15,2019,0,1
15,2020,0,1
15,2021,0,1
15,2022,0,1
15,2023,0,1
16,2010,0,0
16,2011,0,0
16,2012,0,0
16,2013,0,0
16,2014,0,1
16,2015,0,1
16,2016,0,1
16,2017,0,1
16,2018,0,1
16,2019,0,1
16,2020,0,1
16,2021,0,1
16,2022,0,1
16,2023,0,1
17,2010,0,0
17,2011,0,0
17,2012,0,0
17,2013,0,0
17,2014,0,1
17,2015,0,1
17,2016,0,1
